Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
"Aaron J. ""AJ"" Bear",M,25,170,83.12,AUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Abraham Sarkakhyan,M,19,173,70.84,ARM,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Achim Vogt,M,31,179,86.43,LIE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Adam Lamhamedi,M,18,170,77.09,MAR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Adolf Mathis,M,21,165,70.98,SUI,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Slalom,
Adrien Duvillard,M,23,168,75.72,FRA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Adrien Thaux,M,29,182,83.39,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Agnese boltia,F,17,166,61.34,LAT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Agnieszka Anna Gsienica-Daniel,F,22,159,58.72,POL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Agustn Torres Gutirrez,M,30,171,73.37,ARG,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Ahmet Kbl,M,23,142,55.19,TUR,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Aimo Antero Vartiainen,M,20,162,56.5,FIN,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Slalom,
Aksel Lund Svindal,M,27,189,100.51,NOR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,Gold
Alain Baxter,M,28,179,76.26,GBR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Alain Feutrier,M,19,170,78.7,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Giant Slalom,
Alain Penz,M,24,169,63,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Alain Villiard,M,22,182,77.72,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Alan Stewart,M,24,168,66.73,GBR,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Albert Burger,M,20,176,70.66,FRG,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Albert Llovera Massana,M,17,171,66.3,AND,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Alberto Ghidoni,M,21,175,81.02,ITA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Alberto Senigagliesi,M,21,175,71.17,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
Alberto Tomba,M,25,182,93.05,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,Gold
Ale Brezavek,M,25,184,88.56,SLO,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Downhill,
Ale Gorza,M,29,180,84.29,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Alekhis Fotiadis,M,24,186,85.63,CYP,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Aleksander Aamodt Kilde,M,21,181,91.25,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
"Aleksandr ""Alek"" Glebov",M,30,180,84.18,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Aleksandr Vasilyevich Zhirov,M,21,183,80.15,URS,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Aleksandr Viktorovich Khoroshilov,M,25,182,80.86,RUS,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Alenka Dovan,F,18,164,61.29,SLO,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Combined,Bronze
Alessandra Merlin,F,22,162,58.98,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Downhill,
Alessandro Fattori,M,28,177,83.11,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Alessia Afi Dipol,F,18,168,59.63,TOG,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Alex Antor Seignourel,M,26,187,85.82,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
"Alexander ""Alex"" Heath",M,23,175,76.16,RSA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Alexandra Coletti,F,26,164,60.6,MON,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
"Alexandra Luise ""Alex"" Shaffer (-Wubbels)",F,22,170,70.72,USA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Giant Slalom,
Alexandra Meissnitzer,F,24,165,63.63,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Super G,Bronze
Alexandra Munteanu,F,22,161,54.78,ROU,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,
Alexandre Mohbat,M,18,184,76.76,LIB,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Alfred Hagn,M,23,178,75.03,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Alfred Peik Christensen,M,19,185,73.64,NOR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Alice Jones,F,25,170,76.14,AUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Combined,
"Alva Ross ""A J"" Kitt, IV",M,23,180,93.22,USA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
an Kranjec,M,21,176,78.36,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Ana Drev,F,24,171,60.82,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Ana Galindo Santolaria,F,28,156,50.68,ESP,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Giant Slalom,
Ana Jelui,F,23,165,61.1,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Andrea Dettling,F,23,170,67.98,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Combined,
Andrea Zinsli,M,21,182,88.22,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
"Andreas ""Andi"" Wenzel",M,21,175,70.83,LIE,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Downhill,
Andreas ampa,M,20,168,70.82,SVK,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Andreas Pantelidis,M,21,183,84.56,GRE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Andreas Romar,M,20,190,91.9,FIN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Andrej Jerman,M,27,186,88.94,SLO,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Downhill,
Andrej Kriaj,M,23,180,85.08,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Downhill,
Andrej porn,M,28,187,93.74,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Andreja Leskovek (-McQuarrie),F,19,168,61.62,YUG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Slalom,
Andres Figueroa Marinovic,M,20,163,80.55,CHI,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
"Andrew ""Andy"" Noble",M,25,182,90.12,GBR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Andrew Graham Bell,M,18,181,79.93,GBR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Andrey Nikolayevich Belokrinkin,M,21,180,74.53,URS,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Andrey Vladimirovich Filichkin,M,19,182,92.55,RUS,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Super G,
Andrine Flemmen,F,23,172,64.79,NOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Giant Slalom,
"Andrzej Bachleda-Curu, III",M,23,179,79.59,POL,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Combined,
Andrzej Jan Bachleda-Curu,M,25,176,77.3,POL,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Andy Ray Mill,M,22,180,79.91,USA,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Angel Pumpalov,M,23,176,76.49,BUL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Ania Monica Germaine Caill,F,18,170,60.85,ROU,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Anita Irarrazbal Calvo,F,19,154,51.33,CHI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Super G,
Anita Wachter (-Salzgeber),F,21,164,50.66,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Combined,Gold
Anja Sofia Tess Prson,F,24,170,82.19,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Combined,Bronze
Anja Zavadlav,F,19,169,61.17,YUG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Giant Slalom,
Ann Eva Margareta Melander,F,18,166,60.53,SWE,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,
Anna Berecz,F,25,174,74.09,HUN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Anna Erika Hansson,F,20,171,66.94,SWE,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Downhill,
Anna Fenninger (-Veith),F,24,166,65.27,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,Silver
Anna Helene Ottosson (-Blixth),F,25,165,65.4,SWE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Giant Slalom,
Anna Larionova,F,22,174,74.28,RUS,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Super G,
Anna Mohrov (Zivcov-),F,23,162,57.73,TCH,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
Anne Brusletto (-Heje),F,21,168,55.61,NOR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Anne Heggtveit (-Hamilton),F,21,160,52.17,CAN,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Women's Slalom,Gold
Anne-Flore Rey (-Tafani),F,22,170,54.93,FRA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Slalom,
Anne-Lise Parisien,F,21,162,56.76,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
Anne-Marie LeFranois,F,25,172,71.79,CAN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,
Annemarie Moser-Prll,F,26,170,60.17,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Downhill,Gold
Annersli Zryd,F,18,170,70.47,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
Anne-Sophie Barthet,F,25,170,72.47,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Annick Bonzon (-Anner),F,20,172,67.2,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Slalom,
Antoine Dnriaz,M,25,189,97.39,FRA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Anton Nikolayevich Konovalov,M,21,170,70.42,RUS,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Anton Steiner,M,21,170,74.37,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Antonio Campaa Campella,M,21,174,76.22,ESP,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Antonio Ristevski,M,20,180,84.51,MKD,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Arman Serebrakyan,M,26,176,76.68,ARM,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Armin Bittner,M,27,184,80.54,GER,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Arnaud Alessandria,M,20,185,92.78,MON,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
Arsen Harutyunyan,M,29,160,60.71,ARM,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Slalom,
Arsen Nersisyan,M,22,179,79.37,ARM,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Athanasios Tsimikalis,M,21,180,78.6,GRE,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Atle Skrdal,M,27,184,83.97,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Atsushi Sawada,M,21,172,67.43,JPN,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Attila Bnis,M,20,177,71.9,HUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
August Wolfinger,M,14,176,74.63,LIE,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Aurelio Garca Oliver,M,24,172,76.33,ESP,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Aurlie Revillet,F,23,173,73.94,FRA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Downhill,
Axel Erik Bck,M,26,180,83.27,SWE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Bagher Kalhor,M,22,178,86.08,IRI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Bahattin Topal,M,21,169,65.8,TUR,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Barbara Ann Cochran (-Williams),F,21,154,51.46,USA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Barbara Grocholska (-Kurkowiak),F,24,169,54.96,POL,1952 Winter,1952,Winter,Oslo,Alpine Skiing Women's Downhill,
Barbara Merlin,F,22,165,61.78,ITA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Downhill,
Batrice Filliol (-Amiez),F,22,169,61.03,FRA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Combined,
Beat Feuz,M,26,172,85.09,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Bengt Henrik Fjllberg,M,22,173,74.5,SWE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Benjamin Raich,M,23,182,83.84,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,Bronze
Bernadette Rauter,F,22,165,59.3,AUT,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Downhill,
Bernadette Zurbriggen,F,19,173,66.72,SUI,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Bernard Orcel,M,22,170,70.13,FRA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Bernard Vajdi,M,29,180,85.74,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Bernhard Russi,M,27,182,71.34,SUI,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Downhill,Silver
Bibiana Perez,F,27,170,68.22,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Birgit Heeb-Batliner,F,19,160,53.84,LIE,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Super G,
Bjarne Solbakken,M,24,180,83,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Bjrgvin Bjrgvinsson,M,30,178,88.96,ISL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Bjrn Olsen,M,21,169,71,ISL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Bla Jakopi,M,22,171,69.18,YUG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Blanca Fernndez Ochoa,F,24,168,60.93,ESP,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Slalom,
Bohdana Olehivna Matsotska,F,24,171,64.86,UKR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Bohumr Zeman,M,18,178,73.82,TCH,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Bojan Kosi,M,19,178,85.03,MNE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Bojan Kriaj,M,23,170,69.09,YUG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Boris Strel,M,20,173,70.47,YUG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
"Bradley ""Brad"" Wall",M,26,176,85.41,AUS,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Brian Stemmle,M,21,178,92.25,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
"Brigitte ""Britt"" Lafforgue (-Duvillard)",F,23,160,50.73,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Brigitte Acton (-Smith),F,20,168,63.39,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Brigitte Obermoser,F,21,171,76.24,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Brigitte Oertli,F,25,174,71.6,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Downhill,Silver
Brigitte Seiwald,F,22,167,62.5,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
Bronisaw Trzebunia,M,22,162,64.63,POL,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Bruce Lindsay Grant,M,20,175,77.47,NZL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Bruno Kernen,M,33,180,88.85,SUI,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Bruno Nckler,M,23,180,68.4,ITA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Bruno Piazzalunga,M,23,170,67,ITA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Burgl Frbinger (-Leo),F,18,172,64.37,GER,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Slalom,
Byun Jong-Moon,M,22,172,78.13,KOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Giant Slalom,
Carl Niklas Lindqvist,M,23,182,79.86,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Carlo Janka,M,27,185,86.86,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Carlo Senoner,M,24,173,71.53,ITA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Carlos Mier y Tern,M,18,168,60.93,MEX,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Carola Calello,F,20,170,66.62,ARG,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Giant Slalom,
Carole Hlne Merle (-Pellet),F,24,160,57.58,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Downhill,
Carole Montillet-Carles,F,28,164,74.46,FRA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,Gold
Carolina Vernica Ruiz Castillo,F,32,165,63.44,ESP,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Caroline Attia,F,19,157,56.57,FRA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Downhill,
Cary Lee Mullen,M,24,182,88.68,CAN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Combined,
Catherine Borghi,F,25,172,68.76,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Combined,
Cathy Chedal (-Bornu),F,19,168,58.72,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,
Chantal Bournissen,F,26,171,67.46,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Super G,
Charles Anthony Palmer-Tomkinson,M,23,180,84.78,GBR,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
"Charles Thompson ""Chuck"" Ferries",M,20,175,84.41,USA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Slalom,
"Charlott Stigsdotter ""Lotta"" Sollander",F,18,168,56.27,SWE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Downhill,
Chelsea Marshall,F,23,165,76.42,USA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
Chen Yun-Ming,M,26,176,66.09,TPE,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Chia Kuo-Liang,M,21,176,65.79,TPE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Chiharu Igaya,M,20,166,69.7,JPN,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Downhill,
"Chimene Mary ""Chemmy"" Alcott (-Crawford)",F,27,169,70.18,GBR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Chirine Njeim,F,25,168,61.24,LIB,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
Christa Kinshofer-Gthlein (-Rembeck),F,19,172,57.53,FRG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Giant Slalom,
Christelle Laura Douibi,F,20,169,59.84,ALG,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Christian Bollini,M,21,178,71.05,SMR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Christian Mayer,M,22,180,97.79,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Combined,
Christian Neureuther,M,22,178,67.07,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Christin Elizabeth Cooper,F,20,170,57.97,USA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Giant Slalom,
"Christina ""Kiki"" Cutter",F,18,160,47.71,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
"Christina ""Tina"" Weirather",F,16,162,62.59,LIE,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Christina Anna Meier-Hck,F,25,163,57.44,GER,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Giant Slalom,
Christine Davy (-Smith),F,21,167,58.14,AUS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Women's Slalom,
Christine Laprell,F,17,171,57.95,FRG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
Christine Marion Elisabeth Goitschel (-Branger),F,19,172,63.42,FRA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,Silver
Christof Innerhofer,M,29,186,91.73,ITA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,Bronze
Christoffer Trentemller Faarup,M,21,190,96.17,DEN,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
Christoph Gruber,M,29,180,85.38,AUT,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Christophe Pl,M,27,180,86.72,FRA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Christophe Saioni,M,29,180,83.78,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Giant Slalom,
"Christopher Peter ""Chris"" Womersley",M,23,178,72.42,NZL,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Claire Elizabeth de Pourtales (-Hughes),F,22,172,68.62,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Slalom,
Clare Booth,F,19,160,61.16,GBR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Downhill,
Claudia Giordani,F,24,165,59.57,ITA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,
Claudia Strobl,F,26,165,63.25,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Slalom,
Claudio Wernli,M,21,172,69.75,CHI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
"Colin Campbell Stewart, IV",M,20,176,69.81,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Slalom,
Connor Olev Martin O'Brien,M,33,180,76.72,EST,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Conor Michael Lyne,M,20,177,77.94,IRL,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Corinne Rey-Bellet (-Stadler),F,29,163,62.47,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,
Craig Branch,M,33,175,78.37,AUS,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Downhill,
Craig L. Thrasher,M,23,180,92.67,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Combined,
Cristian Javier Simari Birkner,M,33,184,86.32,ARG,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
"Cynthia Lee ""Cindy"" Nelson",F,20,168,64.34,USA,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Downhill,Bronze
Dagmara Krzyyska,F,24,167,67.15,POL,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Giant Slalom,
Dagn Linda Kristjnsdttir,F,21,161,64.48,ISL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,
Dan Cristea,M,27,173,66.76,ROU,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Dane R. Spencer,M,24,178,86.34,USA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Daniel Albrecht,M,22,183,89.92,SUI,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Daniel Mahrer,M,26,184,78.5,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
Daniel Vogt,M,21,179,81.25,LIE,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,
Daniel Yule,M,20,181,88.65,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Daniela Anguita Loux,F,21,162,58.95,CHI,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Daniela Ceccarelli,F,26,168,60.5,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Combined,
Daniela Merighetti,F,28,168,67.68,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
Danile Debernard,F,21,156,49.1,FRA,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Downhill,
Danilo Sbardellotto,M,31,180,83.02,ITA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Danko Marinelli,M,22,183,89.32,CRO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Darin McBeath,M,25,189,95.47,CAN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Daron Louis Rahlves,M,24,175,84.67,USA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
"David ""Dave"" Anderson",M,22,184,80.06,CAN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
