Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
Patrick Biggs,M,27,187,84.6,CAN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Patrick Brachner,M,22,184,82.68,AZE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Patrick Ortlieb,M,24,189,92.79,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,Gold
Patrick Thaler,M,31,177,79.85,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Patrick-Paul Schwarzacher-Joyce,M,29,188,80.34,IRL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Patrik Inge Johan Jrbyn,M,36,181,86.58,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Downhill,
Patrizia Bassis,F,28,171,65.36,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,
"Paul ""Casey"" Puckett",M,29,178,94.18,USA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Paul Accola,M,26,176,82.88,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
Paul Frommelt,M,30,178,71.21,LIE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Combined,
Paula Kann (-Valar),F,25,165,63.83,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Women's Slalom,
Pavel Sergeyevich Shestakov,M,21,176,87.33,RUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Pavlos Fotiadis,M,19,176,75.75,CYP,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
pela Pretnar,F,28,168,60.56,SLO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Pentti Johannes Alonen,M,22,172,66.17,FIN,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Slalom,
Per Andr Myhrer,M,23,189,93.47,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Per Johan Daniel Wallner,M,18,182,82.02,SWE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Pernilla Christina Wiberg (-Bjerke),F,23,161,69.37,SWE,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
Petar Angelov,M,20,163,64.29,BUL,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Petar Popangelov,M,21,178,74.1,BUL,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Petar Simeonov Dichev,M,24,177,78.47,BUL,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
Peter Bosinger,M,22,185,77.85,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Giant Slalom,
Peter Duncan,M,19,173,70.78,CAN,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Peter Fill,M,23,175,83.16,ITA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Peter Frei,M,21,181,80.14,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Peter Lscher,M,19,175,73.89,SUI,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Peter Mller,M,26,184,85.62,SUI,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,Silver
Peter Pen,M,29,181,80.72,SLO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Peter Runggaldier,M,25,172,79.18,ITA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Petr Zhrobsk,M,21,180,94.28,CZE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Petra Vlhov,F,18,180,73.93,SVK,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Petra Zakouilov,F,27,170,68.68,CZE,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Combined,
Philippe Roux,M,23,176,75.12,SUI,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Downhill,
"Phillip Ferdinand ""Phil"" Mahre",M,22,175,77.29,USA,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Pia Riva,F,28,162,58.89,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Downhill,
Picabo Street,F,26,170,74.73,USA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Downhill,
Piero Gros,M,21,180,78.13,ITA,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Pierre Couquelet,M,19,177,75.97,BEL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Pierre Kszli,M,21,180,69.48,HUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Combined,
Pierre-Emmanuel Dalcin,M,28,183,95.92,FRA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Pierrick Bourgeat,M,22,184,90.17,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Slalom,
Pirmin Zurbriggen,M,21,183,83.78,SUI,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Pol Carreras Torras,M,24,166,71.35,ESP,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Pter Kristly,M,24,182,84.52,HUN,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Pter Vincze,M,26,177,74.34,HUN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Radim Kolouek,M,22,187,86.66,TCH,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Raimo Ensio Manninen,M,23,171,71.03,FIN,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Rainer Schnfelder,M,24,176,89.05,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Slalom,
Ralf Heiko Socher,M,26,184,92.14,CAN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Ramon Rossell Mas,M,20,167,65.09,AND,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Ramon Zenhusern,M,21,200,96.32,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
"Rebecca Ann Fraser ""Becky"" Cremer",F,23,157,49.65,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Women's Combined,
Reggie W. Crist,M,23,180,80.72,USA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Downhill,
Regina Husl,F,18,167,63.73,GER,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Combined,
Regina Sackl,F,16,170,62.21,AUT,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Regine Msenlechner (-Bittner),F,18,167,58.23,FRG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,
Reinfried Herbst,M,27,182,84.86,AUT,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,Silver
Ren Berthod,M,27,180,81.23,SUI,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Ren Federico Farwig Guillen,M,20,170,64.51,BOL,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Men's Slalom,
Renate Gtschl,F,26,165,69.13,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Renato Valentini,M,21,172,75.62,ITA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Resmi Resmiev,M,24,168,65.92,BUL,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Reynir Brynjlfsson,M,22,174,66.33,ISL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Rgine Cavagnoud,F,23,163,64.2,FRA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Giant Slalom,
"Richard David ""Dick"" Movitz",M,22,168,71.29,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Downhill,
Richard Leatherbee,M,18,178,70.84,CHI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
rka Zhrobsk-Strachov,F,28,174,66.5,CZE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
"Robert ""Bob"" Blatt, Jr.",M,26,181,76.54,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Downhill,
"Robert ""Kyle"" Wieche",M,24,178,74.99,USA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
"Robert ""Robbie"" Dixon",M,25,175,85.25,CAN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
"Robert Laurence ""Robbie"" Hourmont",M,18,175,76.41,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
"Robert Lloyd ""Barney"" McLean",M,30,171,71.6,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Men's Downhill,
Robert W. Palmer,M,20,190,76.62,NZL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Roberto Thostrup,M,25,182,82.93,ARG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Roberts Rode,M,26,182,83.9,LAT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
"Rodney ""Rod"" Hebron",M,21,178,80.42,CAN,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Roger Vidosa Riba,M,21,184,77.55,AND,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Downhill,
Roland Fischnaller,M,26,179,85.87,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Roman Dereziski,M,24,176,70.39,POL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Romed Baumann,M,24,184,91.46,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
"Ronald ""Boris"" Duncan",M,29,177,82.89,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Combined,
"Rosemarie ""Rosi"" Mittermaier (-Neureuther)",F,25,159,56.02,FRG,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Downhill,Gold
Rosi Speiser,F,20,168,57.72,FRG,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Ross Green,M,24,170,75.35,GBR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Rostyslav Ihorovych Feshchuk,M,19,176,81.65,UKR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Roswitha Steiner (-Stadlober),F,20,171,64.59,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Slalom,
Rowena Bright,F,21,162,62.8,AUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Royston Varley,M,20,171,58.68,GBR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Ruth-Marie Stewart (-Rademacher),F,20,163,56.71,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Women's Downhill,
Ryszard Julian wika,M,22,172,68.02,POL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Sachiko Yamamoto,F,17,163,63.31,JPN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Giant Slalom,
Samir Azzimani,M,32,188,91.19,MAR,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Samuel Bode Miller,M,28,188,92.04,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Downhill,
Sandro Viletta,M,24,177,78.04,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Combined,
Sanni Maaria Leinonen,F,20,164,56.69,FIN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Sarah Kathryn Schleper (-de Gaxiola),F,30,162,61.48,USA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Sarah Lewis,F,23,157,56.81,GBR,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Giant Slalom,
Sara-Maude Boucher,F,22,170,73.52,CAN,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Super G,
Sbastien Amiez,M,21,180,88.14,FRA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Slalom,
Scott Alan Snchez Saunders,M,25,185,72.54,BOL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
Scott Macartney,M,28,180,92.98,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Sebastian Brigovi,M,21,181,81.79,CRO,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Sergey Anatolyevich Komarov,M,18,174,84.8,RUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
Sergey Nikolayevich Grishchenko,M,24,174,68.54,URS,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Sergey Vladimirovich Maytakov,M,20,184,78.29,RUS,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Sergio Bergamelli,M,27,170,76.16,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Giant Slalom,
Shinya Chiba,M,22,174,73.78,JPN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Shona Rubens,F,19,170,79.59,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Downhill,
Sigrid Wolf,F,23,172,68.17,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Super G,Gold
Sigrur Bjrk orlksdttir (-Baxter),F,20,169,60.91,ISL,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Slalom,
Silvan Zurbriggen,M,24,185,94.41,SUI,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Silvia Stump,F,18,157,51.47,SUI,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Downhill,
Simon Lyle Wi Rutene,M,27,172,68.77,NZL,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Super G,
Soa Maculov,F,18,165,58.78,SVK,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Giant Slalom,
Sofia Akhmeteli,F,20,163,59.86,GEO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Sonja Nef,F,29,164,72.5,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Slalom,
Sophia Ralli,F,25,161,61.66,GRE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Sophie Lefranc-Duvillard,F,21,172,61.14,FRA,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Giant Slalom,
"Spyridon ""Spyros"" Theodorou",M,23,175,72.98,GRE,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
sta Sigriur Halldrsdttir,F,23,178,72.68,ISL,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Super G,
Stacey Janelle Cook,F,29,163,74.1,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Stalina Sergeyevna Demidova-Korzukhina,F,25,158,59.03,URS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Slalom,
Stefan Asenov Georgiev,M,24,185,93.6,BUL,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Stefan Klin,M,21,180,70.81,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Stefan Prisadov,M,23,180,80.34,BUL,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
"Stefanie ""Steffi"" Schuster",F,28,170,61.33,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Stefn Jn Sigurgeirsson,M,20,184,85.94,ISL,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Stepan Olegovich Zuyev,M,25,189,91.08,RUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Stephan Eberharter,M,28,180,85.96,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
Stephan Keppler,M,27,183,89.92,GER,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
